Date	Time	Title	URL	Description	Image
2026-01-20	10:15	Panther halten Goalie Peyton Jones	https://www.aev-panther.de/panther/news_news,-Panther-halten-Goalie-Peyton-Jones-_naid,4227.html	Die Augsburger Panther haben den Vertrag mit Torwart Peyton Jones verlängert. Der 29-jährige Deutsch-Amerikaner wechselte zur laufenden Spielzeit von den Vienna Capitals in die Fuggerstadt und konnte die in ihn gesetzten Erwartungen erfüllen. […]	https://www.aev-panther.de/cms_media/module_img/14/7258_1_org_20251023_AEVERC_Goldberg_203.jpg
2026-01-19	10:00	Panther verpflichten Verteidiger David Farrance	https://www.aev-panther.de/panther/news_news,-Panther-verpflichten-Verteidiger-David-Farrance-_naid,4226.html	Die Augsburger Panther verstärken ihr Team für das Hauptrundenfinale in der Deutschen Eishockey Liga und haben die elfte und damit letzte Importlizenz vergeben. David Farrance hat am Wochenende einen Vertrag beim PENNY DEL-Club unterzeichnet und ist am heutigen Montagmorgen bereits in Deutschland gelandet. Zuletzt stand der Verteidiger bei Sibir Novosibirsk in der KHL unter Vertrag. […]	https://www.aev-panther.de/cms_media/module_img/14/7257_1_org_cp_d1_WOB_ERC24_184.jpg
2026-01-18	19:14	Sechs-Punkte-Wochenende!	https://www.aev-panther.de/panther/news_news,-Sechs-Punkte-Wochenende-_naid,4224.html	Die Augsburger Panther haben erstmals seit Februar 2022 (!) in der PENNY DEL drei Punkte aus Straubing entführt. Damals führte der AEV nach zwölf Minuten schon mit 4:0 und gewann am Ende mit 7:4, dieses Mal siegten die Panther dank eines richtig starken Schlussdrittels mit 4:1. Die Augsburger Treffer erzielten Riley Damiani (37.), Alexander Blank (41., 60.) und D.J Busdeker (53.). Für die Tigers war Stephan Daschner (11.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7256_1_org_STR4.jpg
2026-01-16	22:09	Wichtiger Heimsieg gegen Frankfurt	https://www.aev-panther.de/panther/news_news,-Wichtiger-Heimsieg-gegen-Frankfurt-_naid,4223.html	Die Augsburger Panther haben im vierten und letzten Saisonduell in der PENNY DEL gegen die Löwen Frankfurt den dritten Sieg gefeiert. Beim verdienten 6:3-Erfolg trafen Alexander Blank (6.), Joe Cramarossa (20.), Madison Bowey (30.), Sebastian Zwickl (33.), D.J. Busdeker (35.) und Jason Bast (55.) für die Panther. Für die Hessen waren Jakob Lilja (5., 34.) und Timo Kose (35.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7255_1_org_fra4.jpg
2026-01-16	09:00	Augsburg erwartet Frankfurt im ausverkauften CFS	https://www.aev-panther.de/panther/news_news,-Augsburg-erwartet-Frankfurt-im-ausverkauften-CFS-_naid,4222.html	Am Freitagabend nehmen es die Panther im ausverkauften Curt-Frenzel-Stadion mit den Löwen auf. Eröffnungsbully in der Partie des 40. Spieltags zwischen Augsburg und Frankfurt ist um 19:30 Uhr. […]	https://www.aev-panther.de/cms_media/module_img/14/7254_1_org_ex25_13_aev_fra_056k.jpg
2026-01-15	15:00	We stick together!	https://www.aev-panther.de/panther/news_news,-We-stick-together-_naid,4221.html	In den ersten drei Vierteln der laufenden Hauptrunde konnten wir in 22 von 39 Partien punkten und sind somit vor einem spannenden Hauptrunden-Finale in Schlagdistanz zu Platz 10. Nach sechs langen Jahren ohne Playoff-Qualifikation dürfen wir zumindest von einer Endrunden-Teilnahme träumen. […]	https://www.aev-panther.de/cms_media/module_img/14/7253_1_org_ex25_09_aev_wob_076k.jpg
2026-01-15	09:00	Ausverkauftes CFS gegen Frankfurt	https://www.aev-panther.de/panther/news_news,-Ausverkauftes-CFS-gegen-Frankfurt-_naid,4220.html	Die Augsburger Panther freuen sich im 21. Heimspiel über das 16. ausverkaufte Curt-Frenzel-Stadion der PENNY DEL-Saison 2025-26. Auch für die danach noch fünf verbleibenden Hauptrunde-Spiele im CFS ist die Ticketnachfrage unverändert hoch und größtenteils sind nur noch Stehplätze erhältlich. […]	https://www.aev-panther.de/cms_media/module_img/14/7252_1_org_20260106_AEVISR_Goldberg_195.jpg
2026-01-13	11:00	Grenier nachträglich für sechs Spiele gesperrt	https://www.aev-panther.de/panther/news_news,-Grenier-nachtr%C3%A4glich-f%C3%BCr-sechs-Spiele-gesperrt-_naid,4219.html	Die Augsburger Panther müssen in den kommenden sechs Spielen auf Alexandre Grenier verzichten. Im Nachgang des Heimspiels gegen die Kölner Haie leitete die Deutsche Eishockey Liga ein Ermittlungsverfahren gegen den Stürmer ein, jetzt steht das Urteil fest. […]	https://www.aev-panther.de/cms_media/module_img/14/7251_1_org_20251019_AEVFRA_Goldberg_155.jpg
2026-01-11	18:45	Panther bieten Köln großen Kampf	https://www.aev-panther.de/panther/news_news,-Panther-bieten-K%C3%B6ln-gro%C3%9Fen-Kampf-_naid,4218.html	Am Sonntagnachmittag gastierte der äußerst formstarke Tabellenführer der PENNY DEL in Augsburg. Im ausverkauften Curt-Frenzel-Stadion lieferten die Panther den Kölner Haien über 60 Minuten einen großen Kampf. Am Ende nahmen die Domstädter beim 3:1-Erfolg allerdings alle drei Punkte mit in de Heimat. […]	https://www.aev-panther.de/cms_media/module_img/14/7250_1_org_ex26_39_aev_kec_086k.jpg
2026-01-11	09:00	Panther fordern Spitzenreiter Köln	https://www.aev-panther.de/panther/news_news,-Panther-fordern-Spitzenreiter-K%C3%B6ln-_naid,4217.html	Die Augsburger Panther empfangen am Sonntagnachmittag den Tabellenführer der Deutschen Eishockey Liga im ausverkauften Curt-Frenzel-Stadion. Spielbeginn gegen die Kölner Haie ist um 16:30 Uhr. […]	https://www.aev-panther.de/cms_media/module_img/14/7249_1_org_SIA_7681.jpg
2026-01-09	22:15	Panther nehmen wenigstens einen Zähler mit nach Augsburg	https://www.aev-panther.de/panther/news_news,-Panther-nehmen-wenigstens-einen-Z%C3%A4hler-mit-nach-Augsburg-_naid,4216.html	Am Freitagabend kam es für die Augsburger Panther zu einem direkten Duell im Kampf um einen Platz unter den besten zehn Teams der Deutschen Eishockey Liga. Nach Verlängerung siegten die gastgebenden Grizzlys Wolfsburg mit 4:3. […]	https://www.aev-panther.de/cms_media/module_img/14/7248_1_org_cp_39_WOB_AEV26_159k.jpg
2026-01-07	11:30	Topscorer Alex Blank im Interview	https://www.aev-panther.de/panther/news_news,-Topscorer-Alex-Blank-im-Interview-_naid,4215.html	Alexander Blank überzeugt diese Saison mit seinen guten Leistungen und ist aktuell sogar Topscorer der Panther. Bereits am 02. Dezember des vergangenen Jahres konnten die Augsburger Panther die erste Personalie für die kommende Spielzeit verkünden: Alex Blank bleibt ein Panther. Ein guter Anlass für Sport in Augsburg, die Karriere des 23-jährigen Angreifers genauer zu beleuchten. […]	https://www.aev-panther.de/cms_media/module_img/14/7247_1_org_20260106_AEVISR_Goldberg_212.jpg
2026-01-06	21:41	AEV verspielt Sieg gegen Roosters	https://www.aev-panther.de/panther/news_news,-AEV-verspielt-Sieg-gegen-Roosters-_naid,4214.html	Die Augsburger Panther haben trotz einer 2:0-Führung nur einen Punkt zu Hause gegen die Iserlohn Roosters geholt. Der AEV unterlag am Ende mit 2:3 nach Penaltyschießen. Die Treffer für die Panther erzielten Alexander Blank (10.) und Moritz Elias (11.). Für die Roosters waren Julian Napravnik (33.), Daniel Neumann (34.) und Daniel Fischbuch (66.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7246_1_org_iec3.jpg
2026-01-06	08:00	Am Dreikönigstag gegen Iserlohn	https://www.aev-panther.de/panther/news_news,-Am-Dreik%C3%B6nigstag-gegen-Iserlohn-_naid,4213.html	Die Augsburger Panther treffen am heutigen Dreikönigstag im heimischen CFS auf die Iserlohn Roosters. Spielbeginn ist um 19:00 Uhr. […]	https://www.aev-panther.de/cms_media/module_img/14/7245_1_org_20260102_AEVSERC_Goldberg_201.jpg
2026-01-05	16:00	Scheppach präsentiert sich im Rampenlicht	https://www.aev-panther.de/panther/news_news,-Scheppach-pr%C3%A4sentiert-sich-im-Rampenlicht-_naid,4212.html	"Bereits seit vielen Jahren unterstützt die Scheppach GmbH die Augsburger Panther als Sponsor. Am Dreikönigstag präsentiert sich der Top-Partner des PENNY DEL-Clubs mit seinem Unternehmenslogo auf der Brust der Spieltrikots „Im Rampenlicht"". […]"	https://www.aev-panther.de/cms_media/module_img/14/7243_1_org_ap_top_partner_scheppach_mini_bagger.jpg
